keyword,video_url,video_caption,author_username,author_url,following_count,followers_count,likes_count
beautiful destinations,https://www.tiktok.com/@adrian.baias/video/7382157717726678305,Mornings in #Cappadocia 🇹🇷🇹🇷🇹🇷 #türkiye #turkey,adrian.baias,https://www.tiktok.com/@adrian.baias,3671,649700,31400000
beautiful destinations,https://www.tiktok.com/@nihab_rahman/video/7389326184355613970,Beautiful Sreemangal - the best tea garden destination of Bangladesh.,nihab_rahman,https://www.tiktok.com/@nihab_rahman,214,100900,2000000
beautiful destinations,https://www.tiktok.com/@jessmelu/video/7392714413679070496,Nature is what I need 🫶🏽🌸 #switzerland #nature,jessmelu,https://www.tiktok.com/@jessmelu,116,220300,4300000
beautiful destinations,https://www.tiktok.com/@healingtravelscenery/video/7261752335876017414,#scenery #flowergarden #heallingtime #travel,healingtravelscenery,https://www.tiktok.com/@healingtravelscenery,47,516400,8500000
beautiful destinations,https://www.tiktok.com/@eccendentesiast_._/video/7340736048806350087,Kashmir in Winter ❄️🌨️ Snowfall made the trip more beautiful though couldn't visit some places because of it ☃️,eccendentesiast_._,https://www.tiktok.com/@eccendentesiast_._,21,135,2136
beautiful destinations,https://www.tiktok.com/@mjmehraf/video/7418504065895648519,নারী কি প্রকৃতির রূপের চেয়ে ও বেশি রুপশী? #প্রকৃতি #Viral,mjmehraf,https://www.tiktok.com/@mjmehraf,397,4569,13200
beautiful destinations,https://www.tiktok.com/@i.am.brazil.suppo5/video/7398782356896681234,স্বপ্নের দেশ greece 🇬🇷🇬🇷👉🇯🇵🇯🇵👈✈️,i.am.brazil.suppo5,https://www.tiktok.com/@i.am.brazil.suppo5,33,15900,488200
beautiful destinations,https://www.tiktok.com/@travelizo.abss/video/7402992036669885714,জায়গাটা সুন্দর না?! 🥰 #switzerland #beautiful,travelizo.abss,https://www.tiktok.com/@travelizo.abss,4,20,330
beautiful destinations,https://www.tiktok.com/@alxovi3/video/7378816830556720401,Beautiful Switzerland🇨🇭 #foryou #foryoupage,alxovi3,https://www.tiktok.com/@alxovi3,31,315,2402
beautiful destinations,https://www.tiktok.com/@hello_dongwon/video/7209627755527376136,구석구석 복잡하지만 너무 아름다운 서울의 오후 #틱톡여행,hello_dongwon,https://www.tiktok.com/@hello_dongwon,224,871400,28800000
beautiful destinations,https://www.tiktok.com/@kashmiri_shuvo/video/7288353958580522258,#i_love_kashmir❤️❤️❤️ #kashmir_veiw,kashmiri_shuvo,https://www.tiktok.com/@kashmiri_shuvo,1803,116300,2900000
beautiful destinations,https://www.tiktok.com/@sebastian_schieren/video/7231206461102230811,Would you wake up like this? ☺️ #coffee #pov #travel,sebastian_schieren,https://www.tiktok.com/@sebastian_schieren,120,3900000,73800000
beautiful destinations,https://www.tiktok.com/@nameislili/video/7324402762559638786,One of the most beautiful sunsets I've ever seen 🌅,nameislili,https://www.tiktok.com/@nameislili,976,97600,2500000
beautiful destinations,https://www.tiktok.com/@tanveer.abid/video/7418896931646131463,The weekend therapy #coxsbazar,tanveer.abid,https://www.tiktok.com/@tanveer.abid,221,458,6710
beautiful destinations,https://www.tiktok.com/@jubaidul_hoque_17/video/7421402026380201224,Jao pakhi bolo tare! . . . . #beautifuldestinations,jubaidul_hoque_17,https://www.tiktok.com/@jubaidul_hoque_17,42,3806,75400
beautiful destinations,https://www.tiktok.com/@mdshajibbhuiyan302/video/7331312882061298962,"৩০০ ফুট এর উপর দিয়ে এয়ারপোর্ট যাচ্ছি,#foryou",mdshajibbhuiyan302,https://www.tiktok.com/@mdshajibbhuiyan302,21,33000,769500
beautiful destinations,https://www.tiktok.com/@mdshajibbhuiyan302/video/7333258063673052424,#foryou #beautifuldestinations,mdshajibbhuiyan302,https://www.tiktok.com/@mdshajibbhuiyan302,21,33000,769500
beautiful destinations,https://www.tiktok.com/@mdshajibbhuiyan302/video/7335496595863047431,I keep a good friend in my house #foryou,mdshajibbhuiyan302,https://www.tiktok.com/@mdshajibbhuiyan302,21,33000,769500
beautiful destinations,https://www.tiktok.com/@mdshajibbhuiyan302/video/7337618506680175879,🛬🛫🇧🇩🇦🇪#foryou #foryourpage❤️❤️❤️🛬✈️🛫🇧🇩🇦🇪,mdshajibbhuiyan302,https://www.tiktok.com/@mdshajibbhuiyan302,21,33000,769500
beautiful destinations,https://www.tiktok.com/@ieuyar/video/7332187075762064672,Heaven—tulip fields of the Netherlands #tulips #nature,ieuyar,https://www.tiktok.com/@ieuyar,79,15800,4000000
beautiful destinations,https://www.tiktok.com/@mdshajibbhuiyan302/video/7332403352669637895,#foryou #beautifuldestinations ##,mdshajibbhuiyan302,https://www.tiktok.com/@mdshajibbhuiyan302,21,33000,769500
beautiful destinations,https://www.tiktok.com/@mdshajibbhuiyan302/video/7339080150459501831,মায়ের আদরের ছেলেটা #foryou #beautifuldestinations,mdshajibbhuiyan302,https://www.tiktok.com/@mdshajibbhuiyan302,21,33000,769500
